compute-431-3
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 23:32:54 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_3.xls -f 431_3.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
"262144"   0  0  0  0  7120598  6254019  6361044  6352701  6382682  6414108  6315808  4431927  4258012 
"524288"   0  0  0  0  5640288  6897256  5374498  6113070  6401650  6416462  6297988  4391206  4103368 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2923952  3363612  3791156  4274062  4564786 
"128"   3124872  4557257  3982553  4596273  4934216  5325799 
"256"   3123106  4117018  5022044  5022044  4840911  5117791  5455847 
"512"   3163620  4163357  4784885  4784885  5384786  5509113  5384786  6821616 
"1024"   3403826  7927135  4826859  5363307  5277632  7257394  7524394  6874084  7472033 
"2048"   4611288  5816563  6440169  8498106  7496851  8128206  6207471  8531869  6003564  9228493 
"4096"   5672159  7261741  4643451  6964419  7612471  7683972  5761565  7788478  7892238  7863339  5828019 
"8192"   4181641  4571664  8490582  9023500  9845745  6307078  8990446  5713476  5599873  5637544  6698058  4435342 
"16384"   3180749  5731014  4641387  6809433  7850240  7440550  5108948  5938526  5005860  5013529  6435127  4619236  4161586 
"32768"   0  0  0  0  6937925  6137364  6322286  6294489  6364150  6493749  6217886  4606201  4164210 
"65536"   0  0  0  0  6918856  6647301  6263623  6306302  6384372  6267193  6197251  4127431  4146546 
"131072"   0  0  0  0  6879015  6577221  6210470  6232366  5609764  6406528  6297620  4334389  4120341 
"262144"   0  0  0  0  6846069  6235116  6303787  5996241  6360087  6405775  6266458  4417220  4256545 
"524288"   0  0  0  0  5438956  6751417  6117356  6247920  6394464  6396957  6300857  4401719  4135315 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1526887  1780008  1049372  1933893  2052169 
"128"   1684006  1967960  2035099  2004703  2166499  1526043 
"256"   1729594  2325094  2266207  2325094  2392442  2330140  2639446 
"512"   1809465  2235086  2317080  2381315  2007358  2753870  2427068  2800557 
"1024"   1683768  2751762  2328140  2942149  2498809  3579719  3506651  2822283  3951918 
"2048"   2556676  2752473  3070239  3663388  3396834  3792790  2741930  3561619  2798201  3459769 
"4096"   2872500  3524939  2299908  3205315  3187474  3454069  2549015  2803592  3295072  3237937  2446993 
"8192"   1872485  2642689  3571399  3763056  3913942  2678118  3801358  2366241  2350540  2394606  2754551  2546522 
